연도,총수입,총지출,적립금
1988,699,0,699
1989,866,5,1560
1990,1150,42,2668
1991,1359,110,3917
1992,1688,229,5376
1993,3642,347,8671
1994,4589,534,12726
1995,5473,771,17428
1996,6822,1135,23115
1997,7832,1507,29440
1998,10820,2464,37796
1999,12926,3953,46769
2000,14321,1688,59402
2001,16655,1666,74391
2002,19068,2030,91429
2003,21543,2457,110515
2004,23657,3240,130932
2005,25590,3960,152562
2006,27810,4757,175615
2007,29904,5593,199926
2008,31719,6697,224948
2009,32924,7871,250001
2010,34894,9081,275814
2011,37859,10311,303362
2012,41576,12068,332870
2013,44031,13641,363260
2014,47026,14330,418217
2015,50268,15754,452731
2016,53869,17652,488948
2017,57936,19707,527177
2018,59762,21395,565544
2019,64197,23432,606309
2020,69387,26359,649337
2021,91551,29875,711013
