연도,국내주식,해외주식,국내채권,해외채권,대체투자,단기자금
1988,0,0,59,0,162,17
1989,0,0,215,0,370,19
1990,0,0,529,0,620,31
1991,2,0,874,0,801,11
1992,12,0,1038,0,1331,0
1993,524,0,1709,0,1813,94
1994,668,0,1839,0,1485,327
1995,807,0,2032,0,1598,450
1996,1061,0,2274,0,2495,86
1997,1155,0,3654,0,3509,92
1998,1078,0,4827,0,2384,940
1999,2406,0,10013,0,0,1570
2000,3408,0,19893,0,0,1875
2001,3929,0,38521,69,0,1702
2002,4951,90,56243,169,45,548
2003,6945,150,88791,585,240,450
2004,9800,330,110786,3969,437,311
2005,11805,630,129498,12254,747,679
2006,14963,1175,146274,16366,2152,461
2007,23872,5191,158784,17670,5321,385
2008,35083,9916,173280,8640,8567,1661
2009,28096,12414,197379,10498,12908,326
2010,54975,19918,215878,13288,18898,639
2011,62140,19720,223509,14563,27194,1342
2012,73317,31320,234395,18076,32993,1468
2013,83938,44386,238162,18456,40323,1182
2014,83930,56611,258072,20587,46655,3399
2015,94896,69936,268637,21593,54659,1978
2016,102359,85658,279344,23215,63667,3438
2017,131520,108279,289401,23274,66817,1727
2018,108914,112961,310993,26587,76620,2143
2019,132261,166528,320751,30462,84295,1782
2020,176696,192752,326099,44883,90660,2049
